Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Fastlegged,,SUPPORT,14,50%,3.4,1.2,3.4,10.4,0.9,243,65.7%,6.4,176,2.98,1.48,0.25,0.32,-326,-10,-331,0%,28.6%,0,-
FatBenny,,SUPPORT,4,0%,0.6,0,5.8,3.5,1,214,61%,9.9,180,2.14,0.88,0.23,0.22,-500,-2,-237,25%,25%,0,-
Feather,,SUPPORT,32,59.4%,3.2,0.5,3.5,10.7,1.1,248,75.4%,5.9,154,3.43,1.93,0.39,0.66,-103,-,-,-,-,-,-
Fendras,,SUPPORT,2,50%,4.6,1,2.5,10.5,0.9,239,68.7%,7.4,190,2.67,1.6,0.11,0.46,-110,8,479,0%,0%,0,-
Findo,,SUPPORT,30,33.3%,1.8,1.2,5.6,8.9,1.5,264,63.8%,8.4,219,2.73,1.41,0.25,0.36,-221,2,-502,16.7%,23.3%,0,1
Fine4Ever,,SUPPORT,17,5.9%,1.7,1,4.5,6.9,2.1,254,70.4%,9.9,228,2.53,1.22,0.3,0.31,-25,17,219,23.5%,5.9%,0,-
Fla01,,SUPPORT,14,21.4%,2,0.6,4.6,8.7,1.3,242,77.8%,7.5,172,2.43,1.22,0.24,0.31,-42,-3,310,35.7%,21.4%,0,1
Flay,,SUPPORT,4,0%,1.8,0.8,5.5,9,1,234,78.7%,6.2,135,2.96,1.56,0.38,0.22,-92,3,-374,0%,25%,0,-
Flaystation,,SUPPORT,14,50%,3.1,1.1,3.5,9.8,1.6,271,73.1%,9.9,240,3.38,1.73,0.42,0.43,154,8,-34,21.4%,21.4%,0,1
Fleshy,,SUPPORT,78,67.9%,3.4,1.2,3.6,11.1,1.3,275,75.2%,8.7,222,3.84,1.97,0.6,0.48,170,2,102,33.3%,16.7%,0,6
FreakyFredd,,SUPPORT,12,25%,3.1,0.9,3.5,9.8,1.1,248,73.7%,8.8,189,2.91,1.34,0.33,0.24,-71,2,252,8.3%,25%,0,-
Freazy,,SUPPORT,1,0%,1.6,1,11,17,0.9,234,72%,5.9,233,3.31,1.83,0.34,0.36,-36,5,106,0%,100%,0,-
Frozenn1,,SUPPORT,13,46.2%,1.9,0.8,5.2,9.2,1.2,241,71%,7.6,173,2.76,1.29,0.33,0.32,-141,-2,-145,23.1%,0%,0,-
GALA,,SUPPORT,1,0%,1,0,2,2,1.6,266,66.7%,30.3,518,-,-,-,-,-,-,-,-,-,-,-
Gaeng,,SUPPORT,59,33.9%,2.2,0.9,4.4,8.9,1.5,253,74.8%,8.3,189,03.09,1.69,0.41,0.54,-51,-1,-108,35.6%,15.3%,0,3
Garank,,SUPPORT,1,0%,0.7,0,10,7,0.9,225,70%,6.8,145,02.04,0.96,0.28,0.2,-2430,-1,-246,0%,100%,0,-
Gastruks,,SUPPORT,38,44.7%,2.6,0.5,3.9,9.8,1.5,255,70.8%,6.4,148,3.38,1.76,0.43,0.49,-248,0,-193,18.4%,18.4%,0,1
Godtone,,SUPPORT,2,0%,0.6,0,6,3.5,1.3,201,75%,5.2,116,2.15,01.01,0.27,0.29,-1990,-92,-2620,0%,0%,0,-
Gordinho,,SUPPORT,40,37.5%,2.3,1,4.7,9.6,1.5,248,65.5%,7.5,186,2.93,1.49,0.35,0.26,-195,5,81,22.5%,12.5%,0,1
Gremy,,SUPPORT,11,36.4%,1.6,0.7,6,8.8,1,242,61.1%,6,148,2.75,1.49,0.26,0.44,-644,-4,-459,18.2%,0%,0,-
GuGer,,SUPPORT,41,34.1%,2,0.8,3.4,6.2,1.6,241,69.2%,7.1,169,3.33,1.76,0.43,0.45,-159,1,-27,19.5%,7.3%,0,-
Guigs,,SUPPORT,72,73.6%,4.9,1.1,2.7,12.1,1.7,280,73.5%,8.8,233,3.68,1.76,0.58,0.45,232,3,286,23.6%,12.5%,0,2
HONOR,,SUPPORT,42,52.4%,3.1,1.1,3.8,10.7,1.2,255,70.3%,8.3,215,3.45,1.78,0.4,0.43,-66,-1,-93,33.3%,9.5%,0,2
Halo,,SUPPORT,2,0%,1.2,1,5.5,5.5,1,245,93.8%,11.6,242,2.37,1.21,0.23,0.3,-176,-14,164,0%,50%,0,-
Hang,,SUPPORT,79,58.2%,3.4,0.5,2.8,9,2,264,71.1%,7.8,185,3.72,2,0.49,0.51,189,-,-,-,-,-,-
Hantera,,SUPPORT,74,59.5%,3.3,0.7,3.7,11.6,1,250,75%,6.6,174,3.51,1.84,0.41,0.49,9,-3,-164,31.1%,12.2%,0,1
Haoswen,,SUPPORT,8,37.5%,1.8,0.1,5.4,9.5,1,239,64.9%,9.3,203,3.19,1.57,0.4,0.39,-355,-1,-123,12.5%,25%,0,-
Harp,,SUPPORT,81,69.1%,3.9,1.3,3.2,11,2,289,73.2%,10.3,282,3.18,1.61,0.43,0.5,290,2,161,37%,13.6%,0,2
Hexflash,,SUPPORT,37,40.5%,2.7,1,3.8,9.2,1.3,252,63.8%,8.8,224,2.6,1.28,0.29,0.27,-118,2,-99,24.3%,5.4%,0,1
Hieu3,,SUPPORT,50,42%,2.6,0.5,3.4,8.1,1.2,247,67.3%,6.9,153,3.78,2.14,0.51,0.63,-72,-2,-256,26%,14%,0,-
Highway,,SUPPORT,42,64.3%,3.3,0.9,4.7,14.3,1.3,266,72.3%,7.9,232,3.4,1.59,0.47,0.24,42,5,196,21.4%,19%,0,4
HotPot,,SUPPORT,1,0%,0.8,1,5,3,6.1,310,66.7%,16.1,457,1.81,0.42,0.42,0.38,1736,88,2017,0%,0%,0,-
Huhi,,SUPPORT,43,34.9%,2.5,0.9,3.7,8.5,2.1,255,75.6%,7.8,187,3.49,1.89,0.46,0.46,101,12,155,30.2%,4.7%,0,1
HungryPanda,,SUPPORT,63,68.3%,2.8,0.9,4.7,12.3,1.3,268,70.1%,8,219,3.46,1.74,0.42,0.47,128,3,78,20.6%,14.3%,0,3
Hustlin,,SUPPORT,17,23.5%,2.7,0.4,3.9,10,1.3,245,68.3%,6.6,156,2.84,1.43,0.29,0.4,-373,0,-228,23.5%,5.9%,0,-
Hylissang,,SUPPORT,46,43.5%,1.9,1,5,8.6,1.8,261,64.9%,9.2,224,2.91,1.43,0.4,0.35,136,14,333,28.3%,17.4%,0,2
Hyorai,,SUPPORT,46,54.3%,2.6,1,4.4,10.3,1,251,66.2%,8.4,215,3.2,1.56,0.38,0.36,37,-1,180,39.1%,8.7%,0,1
IgNar,,SUPPORT,48,33.3%,3.5,0.6,2.3,7.4,1.3,238,73.8%,6.8,146,3.58,02.01,0.49,0.55,-107,2,-26,29.2%,10.4%,0,1
IgnaVilu,,SUPPORT,55,23.6%,2.3,0.7,3.6,7.7,1.3,248,76.5%,8.2,180,3.92,2.18,0.57,0.63,-259,-16,-491,30.9%,7.3%,0,-
Iheb,,SUPPORT,14,35.7%,2,0.9,4.4,8.1,1.5,250,71.2%,7.5,157,3.16,1.51,0.41,0.35,-120,-5,-201,50%,7.1%,0,-
Infoneral,,SUPPORT,39,59%,2.7,0.9,3.8,9.4,1.5,259,70.7%,7.4,189,3.22,1.61,0.39,0.36,-106,7,104,25.6%,12.8%,0,-
Ino,,SUPPORT,42,35.7%,1.9,0.7,4.3,7.6,2,253,68.7%,7.2,171,3.33,1.71,0.52,0.45,-164,8,-113,26.2%,21.4%,0,2
Isles,,SUPPORT,48,41.7%,2.6,0.8,3.4,8.3,1.4,252,76%,8.1,197,3.42,1.79,0.49,0.38,-92,-6,-65,29.2%,20.8%,0,-
Iwandy,,SUPPORT,61,47.5%,2.4,0.4,3.2,7.2,1.3,247,69.9%,7.4,178,3.61,2.16,0.41,0.49,-356,-,-,-,-,-,-
J3rkie,,SUPPORT,50,52%,2.6,0.9,3.8,8.8,1.2,248,73.9%,7.9,180,2.76,1.42,0.28,0.26,15,-2,-36,32%,12%,0,-
JackeyLove,,SUPPORT,2,50%,3.8,3,4,12,3,358,79.9%,26.6,818,-,-,-,-,-,-,-,-,-,-,-
JoJo,,SUPPORT,64,56.3%,4.2,0.7,2.7,10.6,1.2,249,75.9%,8.4,212,3.38,1.72,0.4,0.46,98,-1,181,31.3%,15.6%,0,-
Joao,,SUPPORT,40,50%,3.3,0.9,3.3,10.1,1,259,70%,8.1,190,2.86,1.44,0.27,0.34,104,-2,138,30%,10%,0,1
Joexy,,SUPPORT,36,36.1%,1.9,0.4,4.6,8.2,1.2,241,68.5%,8.3,183,3,1.59,0.36,0.37,-287,-10,-195,13.9%,25%,0,1
Jun,,SUPPORT,101,54.5%,3.6,0.8,3.3,10.8,1.1,259,72.2%,7.9,199,3.69,1.99,0.43,0.48,5,-5,99,29.7%,7.9%,0,6
Jwei,,SUPPORT,75,36%,2.5,0.5,3.3,7.7,1.4,243,72.6%,8.2,182,3.47,1.95,0.39,0.59,-390,-,-,-,-,-,-
KaSing,,SUPPORT,43,51.2%,4.2,0.6,2.9,11.6,1.2,252,70.2%,7,177,03.07,1.53,0.37,0.37,23,2,120,27.9%,7%,0,-
Kabbie,,SUPPORT,44,29.5%,2.7,0.7,3.4,8.6,1.3,238,72.6%,8.9,181,3.72,2.23,0.4,0.53,-3,-1,-226,22.7%,15.9%,0,-
Kael,,SUPPORT,89,51.7%,3.5,0.9,2.9,9.2,1.5,257,71.8%,7.3,179,3.84,02.08,0.47,0.6,69,-,-,-,-,-,-
Kairi,,SUPPORT,25,56%,3.9,0.8,2.7,9.7,1.4,255,66.7%,7.1,175,3.8,1.95,0.63,0.43,-217,2,-303,32%,12%,0,1
Kaiser,,SUPPORT,14,35.7%,3.9,0.5,2.6,9.6,1.3,250,83.3%,10.6,225,3.6,02.04,0.43,0.49,64,5,419,42.9%,0%,0,-
Kaiwing,,SUPPORT,97,60.8%,4.4,0.8,2.4,9.5,1.9,268,70.6%,6.7,176,3.26,1.72,0.48,0.41,208,3,162,38.1%,8.2%,0,1
Kamiloo,,SUPPORT,1,0%,1.9,1,8,14,1.3,249,57.7%,7.9,211,4.91,2.42,0.65,0.36,-243,2,-319,0%,100%,0,-
Kamyta,,SUPPORT,35,37.1%,2.7,0.5,3.1,7.8,1.1,237,67.8%,6.7,156,2.96,1.54,0.33,0.41,-243,-3,-390,17.1%,8.6%,0,-
Kellin,,SUPPORT,90,52.2%,3.6,0.6,2.6,8.9,1.3,252,71.8%,8.5,193,3.48,1.96,0.41,0.46,-33,-5,-231,34.4%,8.9%,0,-
Keria,,SUPPORT,159,62.9%,4.1,1.1,2.3,8.5,2.3,280,69.2%,10.6,263,3.25,1.85,0.39,0.49,395,12,471,23.3%,5%,0,11
Kerry,,SUPPORT,15,13.3%,1.2,0.5,5.6,6.2,1,228,65.4%,6.8,167,3.1,1.71,0.4,0.55,-364,-1,-263,33.3%,26.7%,0,1
Kibah,,SUPPORT,19,47.4%,2.4,0.8,4.3,9.3,1.1,249,68.9%,9.7,206,3.27,1.76,0.43,0.32,-212,-10,-433,47.4%,10.5%,0,1
Kick,,SUPPORT,31,35.5%,2.4,1.1,3.8,7.9,1.5,253,74.2%,9.2,198,3,1.46,0.38,0.34,28,6,42,38.7%,16.1%,0,1
Kim Down,,SUPPORT,62,41.9%,2.6,0.6,3.9,9.5,1.3,241,63.4%,5.9,151,3.43,1.95,0.37,0.53,-101,2,-104,24.2%,12.9%,0,-
KlownZ,,SUPPORT,69,65.2%,2.9,1.1,4.2,11.1,1.2,259,66.5%,6.2,171,03.02,1.37,0.45,0.32,-106,-1,-11,27.5%,15.9%,0,-
Kolios,,SUPPORT,32,31.3%,2.4,0.7,4,9,1.2,236,69.6%,7.7,169,2.75,1.38,0.3,0.36,-183,1,55,21.9%,12.5%,0,-
Krastyel,,SUPPORT,50,60%,4,1.1,2.9,10.5,1.3,264,72.9%,9.6,224,3.55,1.86,0.42,0.5,204,3,314,36%,4%,0,2
Krest,,SUPPORT,1,0%,3.3,4,3,6,7,346,40%,16.7,508,1.13,0.48,0.14,0.14,674,106,3128,0%,0%,0,-
Kurak,,SUPPORT,50,68%,3.5,1.2,3.6,11.1,1.7,281,68.5%,9.6,270,2.84,1.27,0.42,0.29,193,6,127,24%,16%,0,5
Kuri,,SUPPORT,72,65.3%,4.7,0.8,2.7,11.9,1.2,255,78.4%,8.1,204,3.7,2.14,0.39,0.45,83,1,213,47.2%,6.9%,0,-
Kyouma,,SUPPORT,6,0%,1.2,0.7,5,5.3,1,234,70.8%,7.5,181,2.34,01.02,0.26,0.24,-175,1,-13,33.3%,33.3%,0,-
Kyu,,SUPPORT,2,0%,0.3,0,7,2,0.9,202,38.1%,9.1,149,2.32,1.25,0.21,0.31,-718,-11,-630,0%,50%,0,-
Labrov,,SUPPORT,81,56.8%,2.9,0.8,3.5,9.5,1.2,252,71.1%,6.9,153,3.87,02.05,0.49,0.49,-34,-1,-59,25.9%,17.3%,0,2
