Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Hans Sama,,ADC,107,71%,5.3,5,2,5.6,9.4,462,65.5%,26.4,685,1.21,0.42,0.33,0.11,241,8,198,18.7%,4.7%,3,10
Harky,,ADC,1,100%,8.5,8,2,9,10.4,543,70.8%,39.1,1023,0.71,0.36,0.06,0.16,2288,35,2332,0%,100%,0,-
Harpoon,,ADC,67,62.7%,6,5.6,1.9,5.6,9.6,469,72.9%,27.6,735,1.3,0.4,0.35,0.11,257,7,328,17.9%,11.9%,0,15
Hazel,,ADC,40,55%,3.7,5.3,3,5.7,8.1,427,76.7%,28.8,769,1.14,0.42,0.25,0.14,-405,-10,-311,12.5%,12.5%,0,3
Hena,,ADC,91,37.4%,3.7,3.5,2.3,5,8.9,414,74.2%,27.4,621,1.55,0.64,0.38,0.18,-278,-8,-118,27.5%,4.4%,0,8
Hid0,,ADC,18,16.7%,2.4,3.6,2.6,2.8,9.2,411,67.8%,28.7,631,1.8,0.38,0.33,0.05,-644,-11,-613,33.3%,0%,0,1
Hiro,,ADC,35,45.7%,5.5,4.8,1.8,5,9.5,433,65.9%,27,664,0.87,0.36,0.21,0.07,-66,2,70,25.7%,5.7%,0,2
Hjarnan,,ADC,3,0%,1.8,2,4.3,6,7.5,357,49.2%,21.9,651,0.55,0.31,0.08,0.07,476,-1,867,0%,0%,0,-
Holyphoenix,,ADC,47,53.2%,6.4,6.3,1.9,6,9.2,455,70.1%,26.6,646,0.98,0.32,0.26,0.07,-80,-5,-85,25.5%,8.5%,2,7
Hoopa,,ADC,32,31.3%,2.2,3.5,3.7,4.6,8.1,406,52.4%,21.9,549,1.49,0.66,0.31,0.25,-847,-9,-241,9.4%,3.1%,0,3
Hope,,ADC,89,51.7%,4.4,4,2.2,5.6,8.6,425,67.6%,25.7,646,1.48,0.58,0.39,0.17,14,-,-,-,-,-,-
HowLa,,ADC,40,17.5%,1.9,3,3.3,3.3,8.5,388,60.9%,25.8,557,1.11,0.44,0.32,0.19,-743,-1,-291,17.5%,7.5%,1,2
Huhi,,ADC,1,100%,3.7,1,3,10,2.2,299,91.7%,21.8,647,03.02,1.41,0.39,0.22,-1060,-91,-1159,0%,0%,0,-
Humble,,ADC,21,28.6%,2.9,3.3,2.8,4.8,9.3,415,57%,23.7,535,0.94,0.33,0.27,0.09,-342,4,-82,38.1%,9.5%,0,1
Hype,,ADC,118,70.3%,6.9,5.4,1.8,6.8,8.8,459,69.3%,27.9,783,1.62,0.61,0.37,0.18,414,-2,291,26.3%,4.2%,0,11
Ice,,ADC,81,56.8%,5.5,4.7,1.8,5,10.1,464,68.3%,28.4,650,1.47,0.49,0.42,0.14,49,6,239,22.2%,4.9%,2,6
Improve,,ADC,8,25%,2.5,1.6,2.8,5.1,8.7,382,55.8%,23.1,542,01.09,0.45,0.27,0.16,-605,-8,-298,37.5%,0%,0,-
Innaxe,,ADC,36,33.3%,4.4,3.8,2.3,6.2,8.2,409,72.7%,28.4,646,1.37,0.54,0.34,0.11,-220,-7,-157,19.4%,2.8%,0,7
