Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Osman123,,JUNGLE,43,60.5%,3.6,2.1,3.1,9.3,5.1,325,70.7%,11,279,1.36,0.44,0.25,0.38,-288,-5,-171,39.5%,4.7%,0,1
Own3r,,JUNGLE,48,77.1%,4.6,5.2,2.9,8.3,6.9,418,69.4%,20.4,558,1.39,0.34,0.28,0.26,714,15,652,47.9%,6.3%,0,17
Pabu,,JUNGLE,36,33.3%,3.1,3.1,3.2,6.7,6.3,351,75.2%,16.8,413,1.56,0.43,0.37,0.34,124,5,235,27.8%,16.7%,0,-
Pallet,,JUNGLE,40,42.5%,2.7,3.6,4.1,7.3,6.4,366,72%,19.6,510,1.41,0.3,0.36,0.27,39,3,72,35%,10%,0,6
Paresz,,JUNGLE,30,33.3%,2.5,3.1,3.6,5.8,6.6,363,67.5%,21.7,534,1.27,0.31,0.28,0.18,162,12,266,30%,10%,0,6
Pasu,,JUNGLE,18,11.1%,2.2,2.2,4.2,7.2,5.1,318,76.5%,14.2,339,01.09,0.26,0.26,0.21,-481,-25,-1000,38.9%,5.6%,0,3
Peach,,JUNGLE,54,37%,3.1,1.7,2.9,7.5,5.8,332,82.1%,14.6,326,1.66,0.38,0.44,0.25,54,0,-28,31.5%,16.7%,0,5
Peanut,,JUNGLE,112,69.6%,5.3,2.2,2,8.5,6.1,349,74.6%,13.3,326,1.76,0.42,0.46,0.28,132,0,78,42.9%,9.8%,0,8
Perry,,JUNGLE,32,46.9%,2.2,2,4.3,7.5,5.4,324,69.1%,13.4,321,1.28,0.28,0.31,0.21,-332,-8,-325,31.3%,12.5%,0,2
Phuc1,,JUNGLE,29,37.9%,3.3,3.4,3.4,7.7,6.3,369,76%,19.5,547,1.36,0.36,0.32,0.36,188,2,20,37.9%,3.4%,0,2
Pipibaat,,JUNGLE,57,57.9%,4.1,2.3,2.8,9.1,5.7,343,70.5%,13.5,362,1.29,0.29,0.32,0.21,-29,-4,-90,28.1%,14%,0,2
Porcupine,,JUNGLE,27,22.2%,2.5,2.9,3.6,6.1,6.1,349,65.9%,15.3,388,01.07,0.23,0.26,0.18,-146,-2,-185,29.6%,11.1%,0,4
Praevius,,JUNGLE,1,0%,0.6,1,5,2,5.6,293,60%,19.5,385,0.71,0.08,0.29,0,-320,-2,111,100%,0%,0,-
Pridestalkr,,JUNGLE,17,23.5%,2.9,2.6,3.6,7.9,6.1,344,70.7%,17.3,409,1.29,0.3,0.3,0.23,43,11,312,47.1%,0%,0,2
Pshybyl,,JUNGLE,50,52%,3.4,2.8,2.8,6.8,5.7,339,69.7%,14.9,353,1.2,0.25,0.3,0.2,-186,-5,-260,30%,6%,0,4
Psilakhs,,JUNGLE,4,0%,1.3,0.8,3.5,3.8,5.2,301,68.8%,14.1,367,0.87,0.21,0.2,0.14,-316,-3,-87,0%,0%,0,-
Pyosik,,JUNGLE,105,52.4%,4.2,2.3,2.3,7.4,5.8,337,72.6%,13.4,322,1.69,0.5,0.4,0.37,-61,-3,-136,40%,6.7%,1,5
QQMore,,JUNGLE,5,0%,1.4,2.8,5,4.4,6,338,68.9%,26.5,503,1.42,0.36,0.36,0.33,-192,-18,-791,20%,40%,0,-
Qiang,,JUNGLE,28,82.1%,3.7,3.3,3.1,8.3,5.9,364,68.5%,14,353,1.77,0.54,0.38,0.42,-37,0,30,39.3%,0%,0,7
Qiutian,,JUNGLE,3,33.3%,2.8,1.7,2.7,5.7,5.7,337,76%,16.9,295,-,-,-,-,-,-,-,-,-,-,-
Quest,,JUNGLE,6,33.3%,2.4,4.2,4.8,7.5,6.7,381,65.2%,26.3,739,0.91,0.28,0.15,0.11,232,11,292,0%,16.7%,0,1
RYue,,JUNGLE,2,0%,1.8,2,4,5,5,305,79.2%,13.8,335,1.21,0.34,0.26,0.33,-240,-4,-77,0%,0%,0,-
Rabbit,,JUNGLE,8,12.5%,2.1,2.1,4.6,7.6,6,339,67.9%,20.4,475,1.19,0.27,0.24,0.21,-136,-1,31,50%,0%,0,2
Rabble,,JUNGLE,74,58.1%,4.4,3,2.7,8.8,6.4,358,71.2%,17.7,456,1.23,0.22,0.32,0.15,273,10,380,35.1%,10.8%,0,13
Raluxu,,JUNGLE,14,28.6%,2.4,2.9,4.3,7.4,5.8,341,71.5%,17.5,432,1.18,0.24,0.26,0.2,-583,-6,-488,21.4%,7.1%,0,6
Rames,,JUNGLE,59,61%,4.1,3.1,3.1,9.6,6,361,70.4%,16.4,445,1.15,0.28,0.23,0.2,118,5,210,32.2%,8.5%,0,4
Raptor,,JUNGLE,95,41.1%,2.9,2.4,3.1,6.8,5.8,337,71.6%,16.2,407,1.53,0.36,0.4,0.31,-51,0,-32,29.5%,9.5%,0,7
Razork,,JUNGLE,101,54.5%,3.8,2.7,3,8.6,6.1,352,70.1%,16.3,425,1.56,0.33,0.42,0.22,92,7,276,27.7%,5.9%,0,10
RealR,,JUNGLE,8,50%,2.4,0.8,3.6,8.1,4.8,302,68.6%,13.6,325,0.97,0.16,0.23,0.16,-949,-32,-1008,12.5%,0%,0,1
RenYe,,JUNGLE,22,9.1%,2.3,2.1,3.1,5,5.4,316,78.3%,13.1,267,1.17,0.25,0.29,0.18,-213,-6,-253,40.9%,4.5%,0,1
Renewal,,JUNGLE,14,28.6%,2.4,2,3.4,6,5.6,319,71%,12.4,259,1.26,0.33,0.3,0.27,239,10,241,28.6%,0%,0,2
Reshiram1,,JUNGLE,1,0%,0.5,0,6,3,4.9,274,75%,12.9,304,0.6,0.08,0.16,0.04,-1124,-11,-843,0%,0%,0,-
Reufury,,JUNGLE,10,0%,1.3,3.7,5.6,3.5,5.4,344,69.6%,20.5,486,1.16,0.25,0.24,0.17,-522,-18,-943,30%,10%,0,3
Revengg,,JUNGLE,16,25%,1.6,2.3,4.7,5.3,5.6,324,65.4%,10.9,249,1.35,0.34,0.3,0.25,-39,-3,12,31.3%,12.5%,0,4
Rhilech,,JUNGLE,81,63%,3.8,2.4,2.9,8.8,6.2,354,71.8%,16.4,423,1.47,0.35,0.34,0.27,161,5,242,37%,12.3%,0,11
River,,JUNGLE,60,50%,2.8,2.5,3.5,7.3,6.1,351,72.9%,17.4,451,1.56,0.45,0.35,0.28,80,1,36,26.7%,20%,0,4
RoseThorn,,JUNGLE,29,48.3%,2.9,2.1,3.7,8.4,5.9,337,72.9%,13.3,335,1.36,0.26,0.34,0.2,-199,3,-46,31%,13.8%,0,-
Roshan,,JUNGLE,22,50%,3.9,2.4,2.9,9,6,347,73.5%,14.7,344,1.52,0.31,0.39,0.29,19,-1,-1,31.8%,18.2%,0,2
Ruo,,JUNGLE,3,0%,0.9,1.7,5,2.7,5.1,310,73%,18.5,260,-,-,-,-,-,-,-,-,-,-,-
Ryujin,,JUNGLE,14,21.4%,2,1.7,4.4,7.4,5.1,318,77.1%,13.1,286,1.11,0.22,0.22,0.2,-601,-17,-686,28.6%,14.3%,0,-
Ryuzaki,,JUNGLE,36,27.8%,2.6,1.6,3.3,6.8,5.4,311,77.1%,12.3,292,1.28,0.35,0.28,0.3,-69,-6,-291,38.9%,13.9%,0,3
Samkz,,JUNGLE,3,66.7%,5.5,3,2,8,6.3,353,75.7%,14.6,335,1.56,0.4,0.36,0.49,-390,-4,-581,33.3%,0%,0,-
Santa,,JUNGLE,28,3.6%,1.8,1.5,3.6,5.1,5.5,313,76.3%,16.7,303,0.93,0.14,0.26,0.14,-570,-10,-542,28.6%,3.6%,0,-
Sapphire,,JUNGLE,13,23.1%,1.8,1.9,5.2,7.6,4.9,299,67.8%,13.2,359,1.21,0.27,0.27,0.22,-432,-11,-468,38.5%,15.4%,0,1
Savero,,JUNGLE,34,38.2%,2.8,3.3,3.6,6.9,5.6,337,70.7%,15.5,407,1.11,0.2,0.29,0.16,-42,-3,-146,29.4%,8.8%,0,8
Sawyor,,JUNGLE,43,51.2%,3.4,2.5,3.2,8.6,5.5,339,70.1%,12.5,307,1.19,0.28,0.27,0.24,-32,-2,-105,27.9%,9.3%,0,4
Scofield,,JUNGLE,22,31.8%,2,2.2,4,5.9,5.3,321,68.4%,16.3,349,1.13,0.3,0.21,0.29,-281,-10,-370,22.7%,18.2%,0,1
Seize,,JUNGLE,44,29.5%,3.1,2.2,3,7.3,5.4,318,76%,15.5,329,1.53,0.42,0.37,0.31,130,-3,-69,45.5%,4.5%,0,1
Seki,,JUNGLE,11,36.4%,2.7,2.2,4.5,9.7,4.6,301,72.6%,15.2,391,0.94,0.25,0.17,0.2,-708,-14,-701,36.4%,18.2%,0,-
Selfflag,,JUNGLE,5,0%,0.9,2,4.8,2.4,5.2,306,73.1%,15.3,272,01.01,0.25,0.24,0.28,-1008,-18,-869,20%,40%,0,2
Selfmade,,JUNGLE,48,56.3%,3.5,2.8,3.3,8.8,6,353,74.1%,15.4,392,1.34,0.33,0.3,0.24,352,5,184,45.8%,4.2%,0,1
