Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
bobista,,TOP,31,45.2%,2.7,3.1,3.3,5.7,8,395,53.7%,21.6,572,0.77,0.35,0.11,0.03,-46,-2,-91,22.6%,12.9%,0,6
cio,,TOP,4,0%,1.7,2,2.8,2.8,7.4,352,53.1%,27.1,553,0.89,0.35,0.13,0.17,63,2,284,25%,0%,0,2
curty,,TOP,48,50%,2.6,3,3.1,5.1,7.6,389,54.2%,25.7,588,0.91,0.27,0.18,0.12,-31,-4,-88,16.7%,16.7%,0,33
dejan1,,TOP,1,100%,-,6,0,12,7.7,471,72%,22.6,749,0.79,0.4,0.04,0.13,678,-19,-282,0%,0%,0,1
destroy,,TOP,10,30%,1.8,2.1,3,3.4,8.1,377,51.9%,27.1,536,1.32,0.41,0.32,0.27,45,3,-127,30%,10%,0,3
doraemon,,TOP,38,44.7%,3.1,3.6,2.9,5.3,7.6,389,53.3%,22.7,587,0.82,0.34,0.12,0.1,-12,-2,172,7.9%,2.6%,0,22
emotional,,TOP,1,0%,1,0,2,2,6.8,281,66.7%,21.6,251,0.91,0.37,0,0.08,-2203,-55,-1112,0%,0%,0,-
escoX,,TOP,1,100%,8,2,2,14,6.4,343,61.5%,20.8,639,01.01,0.46,0.1,0.07,-233,-16,-134,0%,0%,0,-
fNb,,TOP,64,60.9%,3.6,3.6,2.5,5.4,8.1,408,57.3%,24.5,592,1.14,0.41,0.22,0.18,267,2,215,25%,10.9%,0,27
fabFabulous,,TOP,14,28.6%,2.1,1.9,3.3,5,7.3,355,49.6%,22.2,473,1.14,0.47,0.19,0.2,-356,-11,-233,7.1%,7.1%,0,6
ggv,,TOP,1,0%,4,0,4,16,1.1,243,84.2%,4.4,124,2.76,1.19,0.26,0.21,-1197,-93,-3658,100%,0%,0,-
iBo,,TOP,58,55.2%,2.7,2.3,3.2,6.3,7.4,375,56.8%,19.4,474,1.19,0.41,0.25,0.17,136,1,147,22.4%,15.5%,0,14
jjs156,,TOP,12,25%,1.4,1.5,3.3,2.9,7.4,344,44.8%,24.4,506,0.72,0.36,0.06,0.09,-563,-4,84,0%,8.3%,0,4
jmz,,TOP,28,25%,2.7,2.8,2.7,4.3,8.5,400,52.6%,25.3,571,0.97,0.42,0.17,0.14,369,4,137,10.7%,10.7%,0,4
jucky,,TOP,11,27.3%,1.3,2.1,3.6,2.5,7.6,356,36.3%,17.3,383,0.93,0.44,0.09,0.18,-973,-17,-403,18.2%,18.2%,0,4
kPr,,TOP,35,48.6%,2.6,3.6,3.3,5,7.5,394,53.9%,24.1,568,01.06,0.36,0.18,0.14,-31,-3,-233,22.9%,20%,0,15
