Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Henra,,MID,48,62.5%,5.2,4.4,2.1,6.5,9.1,436,62.4%,26.3,636,1.18,0.42,0.21,0.14,355,8,284,20.8%,6.3%,0,18
Heroic,,MID,34,38.2%,2.9,4.3,3,4.4,8.7,417,61.5%,29.3,765,0.88,0.34,0.17,0.06,81,-2,-39,17.6%,8.8%,0,10
Hiro1,,MID,2,50%,5.1,10,3.5,8,8.4,515,70.8%,31.8,980,0.93,0.34,0.17,0.13,1272,14,316,0%,0%,0,4
HongQ,,MID,2,0%,2.2,5,5.5,7,8.4,407,69.4%,30,967,1.22,0.44,0.29,0.12,-100,6,162,0%,0%,0,-
Humanoid,,MID,101,54.5%,3.4,4.5,3.2,6.4,9.2,441,67.1%,30,777,0.97,0.35,0.25,0.05,76,3,-13,14.9%,10.9%,0,32
Humble,,MID,1,0%,0.8,3,6,2,8.5,390,20%,14.2,378,0.72,0.34,0.09,0.03,-185,-9,-266,0%,0%,0,-
Hunt,,MID,45,48.9%,3.4,4.8,3.2,6.1,9.1,461,70%,27.7,715,0.76,0.3,0.13,0.06,158,2,121,22.2%,11.1%,0,31
HwQ,,MID,3,33.3%,2.7,3,3,5,7.8,388,72.7%,22.6,407,-,-,-,-,-,-,-,-,-,-,-
Hydra,,MID,53,56.6%,4.9,4.6,2.4,7.4,8.3,412,66.1%,24.3,638,1.23,0.5,0.24,0.2,-180,-9,-368,9.4%,5.7%,0,14
IB0,,MID,2,50%,2.1,3,4,5.5,6.8,350,60.7%,19.5,507,0.53,0.24,0.15,0,-419,-20,-422,0%,0%,0,2
Imaginer,,MID,18,44.4%,2.5,3.6,3.8,5.8,8.4,413,53%,24.4,603,0.84,0.32,0.16,0.12,70,1,-184,5.6%,16.7%,0,9
Incursio,,MID,12,75%,4.1,4.8,2.9,7.3,7.4,428,53.4%,22.8,673,0.64,0.23,0.08,0.05,-340,-14,-404,33.3%,0%,0,5
Insanity,,MID,30,30%,3,3.2,2.5,4.1,8.5,395,58.2%,25,571,1.25,0.46,0.25,0.17,-310,-10,-284,13.3%,6.7%,0,9
